Years,SSP245a,SSP245c,SSP245g,SSP245i
2306,9.712635,20.17732,14.453803,8.949623
2307,9.980366,20.187702,13.5457735,9.907568
2308,8.080786,20.399364,14.916608,9.911968
2309,8.196877,20.841055,14.527368,9.715574
2310,9.070878,19.832205,13.361614,8.884267
2311,9.731725,20.746937,12.869236,8.295848
2312,9.519401,21.27469,12.385442,9.75039
2313,8.854606,20.926508,14.408165,9.684689
2314,9.093463,20.93787,13.877445,8.011883
2315,9.750353,20.452976,14.949307,7.8753357
2316,8.880946,20.29452,14.176657,7.9531984
2317,9.334577,20.171396,15.291884,9.544894
2318,9.593788,20.026272,12.966113,8.994198
2319,9.060015,19.791363,14.48622,9.470483
2320,9.02005,18.365921,14.044319,8.766313
2321,9.293778,19.043226,13.270445,9.174155
2322,8.159354,18.96804,14.47058,9.265389
2323,9.383317,18.83111,13.134942,9.4056225
2324,9.79995,19.094416,15.351586,8.603804
2325,8.329549,20.119825,13.85989,9.707174
2326,9.122643,20.74373,14.794575,6.8507643
2327,9.369617,19.716404,13.220789,8.084913
2328,8.535492,20.593857,16.488302,9.006594
2329,9.562283,19.937729,15.207295,9.032317
2330,9.092937,21.750757,14.207371,9.011735
2331,9.720767,21.147985,16.242596,7.3209186
2332,6.762955,21.11333,15.84111,8.293347
2333,7.7102323,22.868465,14.781763,8.297537
2334,7.8260517,23.939117,15.194264,7.7279987
2335,8.1910715,23.721466,15.469218,7.324844
2336,9.323223,21.798515,16.793472,8.932394
2337,9.363366,22.625456,15.105844,6.064065
2338,9.107254,22.019043,16.463291,7.3919654
2339,8.249264,22.54896,17.613556,8.401231
2340,8.201231,21.521786,16.85792,7.1877337
2341,7.210643,21.253181,17.615236,6.3885226
2342,8.604446,21.416363,17.08636,7.056584
2343,9.490904,20.221388,16.859121,6.911838
2344,7.6563716,20.493736,17.287088,8.083899
2345,9.568108,21.599165,18.148119,7.0894566
2346,7.9120274,20.643322,17.512747,7.0968895
2347,7.9775877,22.627996,17.68169,8.224894
2348,7.515605,20.63359,16.411251,8.294403
2349,8.235485,20.849184,17.190823,7.4228926
2350,7.603702,21.179726,18.308086,6.8747206
2351,6.590746,21.919268,17.68715,7.2042317
2352,8.063884,21.960905,18.358452,7.8264966
2353,8.383565,23.36118,19.502296,7.1454754
2354,7.491603,21.99976,19.058115,7.501123
2355,8.770446,23.142866,19.162518,6.494872
2356,8.00671,23.710604,19.369925,7.4309907
2357,7.207893,22.458097,19.71192,7.111345
2358,6.578307,22.459576,20.058052,6.7617626
2359,7.2551622,20.821007,20.69259,6.736712
2360,8.076803,20.91489,19.334438,7.2755156
2361,7.2297764,19.36024,20.6617,7.937998
2362,6.780229,18.683132,21.172337,6.775142
2363,8.196987,18.838,21.319725,7.8143444
2364,6.2812467,16.736076,20.928879,6.294046
2365,6.921403,17.922153,21.026943,7.4499154
2366,6.955506,16.364458,21.055502,6.4409065
2367,6.354038,16.442345,21.155806,5.7641478
2368,7.462768,15.05101,21.700018,6.1006436
2369,6.0906467,16.75962,21.664171,6.5709286
2370,6.37478,15.8749895,21.294992,6.3338985
2371,7.5522194,17.611423,21.842672,7.1449976
2372,7.1894064,15.427642,21.776867,6.5918484
2373,6.5739284,15.887811,21.230116,6.1303387
2374,6.7103662,16.462183,23.896603,6.0336394
